start_node,end_node,distance,route_id,route_short_name
stop482,stop2285,280.6727969,route2488,walking
stop482,stop2286,93.06565119,route2489,walking
stop482,stop2294,205.0566159,route2490,walking
stop482,stop2295,192.5405306,route2491,walking
stop482,stop2296,331.4498489,route2492,walking
stop482,stop2751,112.9391107,route2493,walking
stop482,stop2785,104.8311776,route2494,walking
stop483,stop1204,147.8031224,route2497,walking
stop483,stop1205,181.7905754,route2498,walking
stop483,stop2435,190.0783535,route2499,walking
stop483,stop2436,203.1425966,route2500,walking
stop483,stop2701,359.1641738,route2501,walking
stop483,stop2702,359.7071557,route2502,walking
stop483,stop484,13.87072906,route2495,walking
stop483,stop633,226.6338157,route2496,walking
stop484,stop1204,145.0853751,route2505,walking
stop484,stop1205,178.3848562,route2506,walking
stop484,stop2435,202.4631052,route2507,walking
stop484,stop2436,216.213946,route2508,walking
stop484,stop2701,345.9651505,route2509,walking
stop484,stop2702,346.6555057,route2510,walking
stop484,stop483,13.87072906,route2503,walking
stop484,stop633,238.5411051,route2504,walking
stop485,stop1006,350.1495405,route2512,walking
stop485,stop1007,356.5786887,route2513,walking
stop485,stop1245,326.9360787,route2514,walking
stop485,stop1246,326.790821,route2515,walking
stop485,stop1297,234.1045637,route2516,walking
stop485,stop1298,243.690531,route2517,walking
stop485,stop486,13.55791303,route2511,walking
stop486,stop1006,354.5069957,route2519,walking
stop486,stop1007,361.2811428,route2520,walking
stop486,stop1245,338.8176749,route2521,walking
stop486,stop1246,338.448088,route2522,walking
stop486,stop1297,247.6624732,route2523,walking
stop486,stop1298,257.2312271,route2524,walking
stop486,stop485,13.55791303,route2518,walking
stop487,stop220,392.3180748,route2525,walking
stop488,stop489,9.09872038,route2526,walking
stop489,stop488,9.09872038,route2527,walking
stop490,stop1984,228.8533579,route2529,walking
stop490,stop1985,229.1292249,route2530,walking
stop490,stop491,6.768020768,route2528,walking
stop491,stop1984,227.5204628,route2532,walking
stop491,stop1985,228.0776979,route2533,walking
stop491,stop490,6.768020768,route2531,walking
stop492,stop699,258.7471682,route2534,walking
stop493,stop494,73.63858822,route2535,walking
stop493,stop495,65.67150068,route2536,walking
stop493,stop823,188.5943222,route2537,walking
stop493,stop824,284.0292193,route2538,walking
stop494,stop493,73.63858822,route2539,walking
stop494,stop495,17.43235261,route2540,walking
stop494,stop823,262.1565146,route2541,walking
stop494,stop824,357.6626223,route2542,walking
stop495,stop493,65.67150068,route2543,walking
stop495,stop494,17.43235261,route2544,walking
stop495,stop823,253.5650421,route2545,walking
stop495,stop824,348.2097161,route2546,walking
stop496,stop141,323.625038,route2547,walking
stop496,stop749,242.4720345,route2548,walking
stop496,stop928,357.7593672,route2549,walking
stop496,stop929,365.630139,route2550,walking
stop496,stop930,263.5930031,route2551,walking
stop496,stop931,361.7061328,route2552,walking
stop497,stop2268,357.4169605,route2555,walking
stop497,stop2269,328.9237939,route2556,walking
stop497,stop2270,302.6364803,route2557,walking
stop497,stop2271,310.7425673,route2558,walking
stop497,stop498,13.31242293,route2553,walking
stop497,stop499,44.24500716,route2554,walking
stop498,stop2268,354.9719531,route2561,walking
stop498,stop2269,328.1358178,route2562,walking
stop498,stop2270,304.8882748,route2563,walking
stop498,stop2271,313.4840431,route2564,walking
stop498,stop497,13.31242293,route2559,walking
stop498,stop499,32.01994924,route2560,walking
stop499,stop2268,336.5873738,route2567,walking
stop499,stop2269,313.4109275,route2568,walking
stop499,stop2270,297.2827788,route2569,walking
stop499,stop2271,306.9922215,route2570,walking
stop499,stop497,44.24500716,route2565,walking
stop499,stop498,32.01994924,route2566,walking
stop5,stop4,135.5808076,route881,walking
stop5,stop6,115.5736342,route882,walking
stop5,stop7,108.5849403,route883,walking
stop5,stop8,112.5736772,route884,walking
stop5,stop9,9.53465687,route885,walking
stop50,stop51,16.37932662,route1031,walking
stop500,stop1772,343.3207674,route2572,walking
stop500,stop1773,339.8746732,route2573,walking
stop500,stop501,16.79668315,route2571,walking
stop501,stop1772,347.6359664,route2575,walking
stop501,stop1773,343.4599235,route2576,walking
stop501,stop500,16.79668315,route2574,walking
